user_propose,sample_idx,Whether_to_Accept,Your_Proposal_if_Reject
0,0,False,60
0,1,False,40
0,2,False,60
0,3,False,40
0,4,False,60
0,5,False,40
0,6,False,40
0,7,False,40
0,8,False,40
0,9,False,40
0,10,False,40
0,11,False,40
0,12,False,40
0,13,False,40
0,14,False,40
0,15,False,40
0,16,False,40
0,17,False,40
0,18,False,40
0,19,False,40
0,20,False,40
0,21,False,40
0,22,False,30
0,23,False,40
0,24,False,40
0,25,False,40
0,26,False,40
0,27,False,60
0,28,False,40
0,29,False,40
0,30,False,40
0,31,False,40
0,32,False,40
0,33,False,40
0,34,False,40
0,35,False,40
0,36,False,40
0,37,False,40
0,38,False,40
0,39,False,40
0,40,False,40
0,41,False,40
0,42,False,40
0,43,False,40
0,44,False,40
0,45,False,40
0,46,False,40
0,47,False,40
0,48,False,60
0,49,False,40
0,50,False,40
0,51,False,40
0,52,False,40
0,53,False,40
0,54,False,40
0,55,False,60
0,56,False,40
0,57,False,40
0,58,False,40
0,59,False,40
0,60,False,40
0,61,False,40
0,62,False,40
0,63,False,40
0,64,False,40
0,65,False,40
0,66,False,40
0,67,False,40
0,68,False,40
0,69,False,40
0,70,False,40
0,71,False,40
0,72,False,40
0,73,False,40
0,74,False,46
0,75,False,40
0,76,False,40
0,77,False,40
0,78,False,40
0,79,False,40
0,80,False,60
0,81,False,40
0,82,False,40
0,83,False,40
0,84,False,40
0,85,False,40
0,86,False,40
0,87,False,40
0,88,False,40
0,89,False,40
0,90,False,40
0,91,False,40
0,92,False,40
0,93,False,40
0,94,False,40
0,95,False,40
0,96,False,40
0,97,False,40
0,98,False,40
0,99,False,60
0,100,False,40
1,0,False,40
1,1,False,40
1,2,False,40
1,3,False,40
1,4,False,60
1,5,False,40
1,6,False,40
1,7,False,40
1,8,False,40
1,9,False,40
1,10,False,30
1,11,False,40
1,12,False,60
1,13,False,40
1,14,False,40
1,15,False,40
1,16,False,40
1,17,False,40
1,18,False,40
1,19,False,40
1,20,False,40
1,21,False,40
1,22,False,40
1,23,False,60
1,24,False,40
1,25,False,40
1,26,False,60
1,27,False,30
1,28,False,40
1,29,False,40
1,30,False,40
1,31,False,40
1,32,False,40
1,33,False,60
1,34,False,40
1,35,False,40
1,36,False,40
1,37,False,40
1,38,False,40
1,39,False,40
1,40,False,40
1,41,False,40
1,42,False,40
1,43,False,40
1,44,False,40
1,45,False,60
1,46,False,40
1,47,False,40
1,48,False,40
1,49,False,40
1,50,False,40
1,51,False,40
1,52,False,40
1,53,False,40
1,54,False,40
1,55,False,40
1,56,False,40
1,57,False,40
1,58,False,60
1,59,False,40
1,60,False,40
1,61,False,40
1,62,False,60
1,63,False,40
1,64,False,40
1,65,False,60
1,66,False,40
1,67,False,40
1,68,False,40
1,69,False,60
1,70,False,40
1,71,False,40
1,72,False,50
1,73,False,40
1,74,False,40
1,75,False,40
1,76,False,40
1,77,False,40
1,78,False,40
1,79,False,40
1,80,False,40
1,81,False,40
1,82,False,40
1,83,False,40
1,84,False,40
1,85,False,40
1,86,False,40
1,87,False,40
1,88,False,40
1,89,False,40
1,90,False,40
1,91,False,40
1,92,False,40
1,93,False,40
1,94,False,40
1,95,False,40
1,96,False,40
1,97,False,40
1,98,False,40
1,99,False,40
1,100,False,40
2,0,False,40
2,1,False,40
2,2,False,40
2,3,False,40
2,4,False,40
2,5,False,40
2,6,False,40
2,7,False,40
2,8,False,40
2,9,False,40
2,10,False,40
2,11,False,40
2,12,False,40
2,13,False,40
2,14,False,40
2,15,False,40
2,16,False,40
2,17,False,40
2,18,False,40
2,19,False,40
2,20,False,40
2,21,False,40
2,22,False,40
2,23,False,40
2,24,False,40
2,25,False,39
2,26,False,60
2,27,False,40
2,28,False,40
2,29,False,40
2,30,False,40
2,31,False,30
2,32,False,22
2,33,False,40
2,34,False,40
2,35,False,40
2,36,False,29
2,37,False,40
2,38,False,40
2,39,False,40
2,40,False,60
2,41,False,40
2,42,False,60
2,43,False,40
2,44,False,60
2,45,False,60
2,46,False,40
2,47,False,40
2,48,False,40
2,49,False,40
2,50,False,40
2,51,False,40
2,52,False,40
2,53,False,60
2,54,False,40
2,55,False,16
2,56,False,40
2,57,False,40
2,58,False,40
2,59,False,40
2,60,False,40
2,61,False,40
2,62,False,40
2,63,False,40
2,64,False,40
2,65,False,40
2,66,False,40
2,67,False,38
2,68,False,40
2,69,False,40
2,70,False,40
2,71,False,40
2,72,False,60
2,73,False,40
2,74,False,40
2,75,False,40
2,76,False,40
2,77,False,40
2,78,False,40
2,79,False,40
2,80,False,40
2,81,False,40
2,82,False,40
2,83,False,40
2,84,False,60
2,85,False,60
2,86,False,40
2,87,False,60
2,88,False,40
2,89,False,40
2,90,False,40
2,91,False,40
2,92,False,40
2,93,False,40
2,94,False,40
2,95,False,60
2,96,False,40
2,97,False,40
2,98,False,40
2,99,False,40
2,100,False,40
3,0,False,40
3,1,False,60
3,2,False,40
3,3,False,40
3,4,False,40
3,5,False,40
3,6,False,40
3,7,False,20
3,8,False,40
3,9,False,40
3,10,False,60
3,11,False,40
3,12,False,40
3,13,False,60
3,14,False,40
3,15,False,38
3,16,False,40
3,17,False,40
3,18,False,40
3,19,False,40
3,20,False,38
3,21,False,30
3,22,False,40
3,23,False,40
3,24,False,60
3,25,False,40
3,26,False,40
3,27,False,40
3,28,False,40
3,29,False,40
3,30,False,40
3,31,False,40
3,32,False,40
3,33,False,60
3,34,False,40
3,35,False,40
3,36,False,40
3,37,False,40
3,38,False,40
3,39,False,40
3,40,False,10
3,41,False,40
3,42,False,96
3,43,False,40
3,44,False,40
3,45,False,40
3,46,False,40
3,47,False,40
3,48,False,40
3,49,False,40
3,50,False,40
3,51,False,60
3,52,False,40
3,53,False,40
3,54,False,40
3,55,False,40
3,56,False,40
3,57,False,60
3,58,False,40
3,59,False,40
3,60,False,40
3,61,False,40
3,62,False,38
3,63,False,40
3,64,False,40
3,65,False,60
3,66,False,40
3,67,False,40
3,68,False,40
3,69,False,40
3,70,False,40
3,71,False,40
3,72,False,40
3,73,False,40
3,74,False,40
3,75,False,40
3,76,False,40
3,77,False,40
3,78,False,40
3,79,False,60
3,80,False,40
3,81,False,40
3,82,False,40
3,83,False,50
3,84,False,30
3,85,False,40
3,86,False,40
3,87,False,30
3,88,False,60
3,89,False,60
3,90,False,40
3,91,False,60
3,92,False,20
3,93,False,40
3,94,False,60
3,95,False,40
3,96,False,40
3,97,False,40
3,98,False,40
3,99,False,40
3,100,False,40
4,0,False,40
4,1,False,60
4,2,False,60
4,3,False,40
4,4,False,60
4,5,False,40
4,6,False,60
4,7,False,40
4,8,False,40
4,9,False,40
4,10,False,40
4,11,False,60
4,12,False,40
4,13,False,40
4,14,False,40
4,15,False,60
4,16,False,40
4,17,False,40
4,18,False,40
4,19,False,40
4,20,False,80
4,21,False,60
4,22,False,36
4,23,False,40
4,24,False,40
4,25,False,60
4,26,False,40
4,27,False,40
4,28,False,40
4,29,False,40
4,30,False,60
4,31,False,40
4,32,False,40
4,33,False,60
4,34,False,40
4,35,False,40
4,36,False,40
4,37,False,40
4,38,False,40
4,39,False,40
4,40,False,40
4,41,False,40
4,42,False,60
4,43,False,40
4,44,False,60
4,45,False,40
4,46,False,28
4,47,False,70
4,48,False,40
4,49,False,60
4,50,False,40
4,51,False,40
4,52,False,40
4,53,False,40
4,54,False,40
4,55,False,40
4,56,False,60
4,57,False,36
4,58,False,40
4,59,False,40
4,60,False,40
4,61,False,36
4,62,False,60
4,63,False,60
4,64,False,40
4,65,False,40
4,66,False,30
4,67,False,40
4,68,False,60
4,69,False,40
4,70,False,40
4,71,False,20
4,72,False,40
4,73,False,38
4,74,False,40
4,75,False,40
4,76,False,36
4,77,False,40
4,78,False,40
4,79,False,40
4,80,False,40
4,81,False,40
4,82,False,40
4,83,False,30
4,84,False,40
4,85,False,40
4,86,False,40
4,87,False,36
4,88,False,40
4,89,False,40
4,90,False,30
4,91,False,40
4,92,False,40
4,93,False,40
4,94,False,40
4,95,False,40
4,96,False,40
4,97,False,40
4,98,False,60
4,99,False,40
4,100,False,36
5,0,False,60
5,1,False,60
5,2,False,30
5,3,False,40
5,4,False,20
5,5,False,40
5,6,False,40
5,7,False,40
5,8,False,40
5,9,False,60
5,10,False,40
5,11,False,60
5,12,False,40
5,13,False,40
5,14,False,40
5,15,False,40
5,16,False,40
5,17,False,40
5,18,False,40
5,19,False,40
5,20,False,40
5,21,False,40
5,22,False,60
5,23,False,40
